id,board,title
0,Baseball,[討論] 龍隊2019真選的好
1,Baseball,[分享] 中職33年失誤塔 ~07/03
2,Baseball,[分享] 今日龍喵戰 8上 喵喵瘦邱滿壘連3K拆彈
3,Baseball,[分享] 鄭凱文本週未上場
4,Baseball,[分享] 中職33年HR塔 ~07/03 Week14
5,Baseball,[新聞] 回應餅總「壓力說」 曾總有妙答
6,Baseball,[新聞] 林立球速很快？梁家榮爆春訓超扯事蹟：他
7,Baseball,Re: [新聞] 踢到球遭判妨礙守備　郭天信：我高估了
8,Baseball,[新聞] 狂威優質先發並列勝投王　樂天桃猿最快
9,Baseball,[LIVE] 洋基@守護者 系列賽第三戰
10,Baseball,[LIVE] (MLB) ATL ＠ CIN 大聯盟每日免費收看
11,Baseball,[討論] 龍隊天哥很不適合放一棒吧
12,Baseball,Fw: [分享] CPBL各項數據排行 (~2022/07/03)
13,Baseball,Re: [討論] 龍隊2019真選的好
14,Baseball,[LIVE](MLB) [email protected] G3世界の大谷3棒防太空橫掃
15,Baseball,[新聞] 中職／劉基鴻逆轉兩分砲 獅隊破不了鋼龍
16,Baseball,[情報] 天使Tyler Wader被DFA以及天使相關變動
17,Baseball,[情報] 洋基將邦威交易去海盜換$$
18,Baseball,[新聞] 19球僅7顆好球！洋基終結者查普曼復出控
19,Baseball,Re: [新聞] 踢到球遭判妨礙守備　郭天信：我高估
20,Baseball,[數據] 韓職7/3結果
21,Baseball,[討論] 中職有沒有可能引入高速攝影機？
22,Baseball,[分享] 昨日金大韓
23,Baseball,[情報] Charlie Morton 六局無安打
24,Baseball,[情報] Pablo Lopez 五局無安打低調中
25,Baseball,[分享] 今日大谷翔平
26,Baseball,[分享] 今日Robbie Ray
27,Baseball,[新聞] 宋文華曝返台關鍵　升3A進賭城！教練每
28,Baseball,[新聞] SPC-「打線有一半都自動出局... 」 美媒
29,Baseball,[Live] 紅雀隊 VS 費城人隊
30,Baseball,[分享] 今日Clayton Kershaw
31,Baseball,[分享] 今日Craig Kimbrel
32,Baseball,[情報] deGrom 今天前往1A復健賽 1.2局投出5三振
33,Baseball,[討論] 難怪葉總要天哥別太拼?
34,Baseball,[分享] 昨日台南棒球場
35,Baseball,[分享] 太空人隊3戰投出48K 寫下大聯盟紀錄
36,Baseball,[分享] 今日二壘傳捕手觸殺出局
37,Baseball,[情報] 今日金河成
38,Baseball,[情報] 今日劉致榮 1.1IP 10H 3HR 7ER
39,Baseball,[問題] 教練為啥不換投？
40,Baseball,[討論] 小聯盟1A有強到打95mph火球像喝水一樣?
41,Baseball,[分享] 今日Mookie Betts
42,Baseball,[情報] 今日 MLB 投打表現 (2022.07.03)
43,Baseball,Re: [新聞] 「洋投套餐」吃起來 桃猿把泰迪嗑到骨頭
44,Baseball,［專欄］中職／優質二壘手向來搶手 黃勇傳選秀
45,Baseball,[分享] 今日 Charlie Morton (前六局無安打)
46,Baseball,[新聞] SPC 兄弟泰迪怎了？本季第3度單場失7分 
47,Baseball,[公告] Baseball 樂透開獎 
48,Baseball,[問題] 輪椅到中南部球場，該如何搭大眾交通??
49,Baseball,[分享] 林振瑋 7/1 上場投球成績
50,Baseball,[分享] WBSC推特:大會現場
51,Baseball,[討論] 劉致榮怎麼會比羅嘉仁差這麼多?????
52,Baseball,[新聞] 201公分游擊手飛奔來觸殺 王寇頓感覺被
53,Baseball,[新聞] 先發14場挨14轟防禦率破7　台灣「火球
54,Baseball,[新聞] 中華小將擊敗地主韓國奪冠　隔6年前進威
55,Baseball,[新聞] 羅曼回歸首戰 將和日職封王戰友羅昂相見
56,Baseball,[討論] 樂天今年的二遊
57,Baseball,[分享] 韓職 引退球員祝賀煙火的size
58,Baseball,[新聞] 發獎金 重紀律 辜仲諒當最佳後盾
59,Baseball,[分享] 好棒棒選秀推薦名單 看好曾子祐非二即一
60,Baseball,[新聞] 新竹重回中職首戰　味全龍「龍往竹前」
61,Baseball,[情報] 韓職全明星賽BEST 12票選最終發表
62,Baseball,[情報] 天使隊獲得Touki Toussaint
63,Baseball,[分享] 美日台韓目前票房第一隊伍
64,Baseball,[新聞] 影／狄格隆將回歸　復健賽1.2局5K！球速
65,Baseball,[新聞] 威廉波特已經13年　宋文華感性吐心聲：
66,Baseball,[情報] NPB 7/4球員異動
67,Baseball,[新聞] MLB／守護者全壘打製造機出運啦 133轟洋
68,Baseball,[新聞] MLB／道奇守護神又放火 金布洛爾防禦率4.
69,Baseball,[新聞] 中職／進入雙主場時代 「龍往竹前」套票
70,Baseball,[情報] 味全龍FB 下半季門票開賣暨主題日公布
71,Baseball,[分享] 今日筒香嘉智 & 裴智桓 (3A)
72,Baseball,[新聞] 台鋼測試會唯一開轟高中生　林耀煌推崇
73,Baseball,[分享] 可惜沒有「偷懶澤」 朴龍澤引退賽全隊穿綽號球衣
74,Baseball,[新聞] SPC-MLB》大谷一人孤軍奮戰...天使隊今
75,Baseball,Re: [討論] 樂天今年的二遊
76,Baseball,[新聞] 出賽15場挨14轟防禦率破7 台灣「火球男」
77,Baseball,[新聞] 天使9局狂吞20次三振 平大聯盟最慘紀錄
78,Baseball,[分享] 今日王柏融
79,Baseball,[新聞] WZH 恰恰引退首度告白　最後打席沒打好
